40.7622110325032, -73.9681792259216;645,""
40.7564492376754, -73.9723634719849;646,The Benjamin Hotel
40.757107521592, -73.9719235897064;647,The Benjamin Hotel
40.7577657989901, -73.9714407920837;648,Blackstone Group LP
40.7583671825203, -73.9710116386414;649,""
40.7589523072196, -73.9705395698547;650,""
40.7551895404046, -73.9712369441986;651,""
40.7558072014037, -73.970764875412;652,Ess-a-Bagel
40.7564004756445, -73.9703035354614;653,Ess-a-Bagel
40.7570587600439, -73.9698851108551;654,Hilton Garden Inn
40.7555227529722, -73.9680826663971;655,Hilton Garden Inn
40.7561647919909, -73.9676749706268;656,Hilton Garden Inn
40.7577089110772, -73.9694130420685;657,""
40.7548888349465, -73.9685440063477;658,The Smith Restaurant
40.7542224017867, -73.9689838886261;659,""
40.7501098737616, -73.9688766002655;660,""
